"product_name","category","subcategory","total_orders","units_sold","total_revenue","total_profit","profit_margin","revenue_rank"
Canon imageCLASS 2200 Advanced Copier,Technology,Copiers,5,20,61599.80,25199.90,0.41,1
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,10,31,27453.40,7753.04,0.28,2
Cisco TelePresence System EX90 Videoconferencing Unit,Technology,Machines,1,6,22638.50,-1811.08,-0.08,3
HON 5400 Series Task Chairs for Big and Tall,Furniture,Chairs,8,39,21870.60,0.00,0.00,4
GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders,11,37,19823.50,2233.51,0.11,5
GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,Binders,9,48,19024.50,760.98,0.04,6
Hewlett Packard LaserJet 3310 Copier,Technology,Copiers,8,38,18839.70,6983.88,0.37,7
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,Machines,3,12,18374.90,4094.98,0.22,8
GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,6,27,17965.10,-1878.17,-0.10,9
High Speed Automatic Electric Letter Opener,Office Supplies,Supplies,3,11,17030.30,-262.01,-0.02,10
Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,4,18,16829.90,-4589.97,-0.27,11
Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies,6,22,16656.20,-1299.18,-0.08,12
Ibico EPK-21 Electric Binding System,Office Supplies,Binders,3,13,15875.90,3345.28,0.21,13
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,5,24,15611.00,-669.55,-0.04,14
"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,Machines,2,11,14299.90,3717.97,0.26,15
Samsung Galaxy Mega 6.3,Technology,Phones,6,39,13943.70,1822.76,0.13,16
Apple iPhone 5,Technology,Phones,6,24,12996.60,1611.58,0.12,17
Bretford Rectangular Conference Table Tops,Furniture,Tables,12,46,12995.30,-327.23,-0.03,18
Global Troy Executive Leather Low-Back Tilter,Furniture,Chairs,9,32,12975.40,951.86,0.07,19
Canon PC1060 Personal Laser Copier,Technology,Copiers,4,19,11619.80,4570.93,0.39,20
SAFCO Arco Folding Chair,Furniture,Chairs,13,53,11572.80,1179.37,0.10,21
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Appliances,8,40,11304.40,3247.02,0.29,22
Cubify CubeX 3D Printer Double Head Print,Technology,Machines,3,9,11100.00,-8879.97,-0.80,23
DMI Eclipse Executive Suite Bookcases,Furniture,Bookcases,6,27,11046.60,90.18,0.01,24
Tennsco 6- and 18-Compartment Lockers,Office Supplies,Storage,11,43,10925.00,1575.11,0.14,25
Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Technology,Accessories,10,35,10822.40,3085.03,0.29,26
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,12,51,10637.50,1927.44,0.18,27
Logitech P710e Mobile Speakerphone,Technology,Accessories,9,41,10196.60,1645.36,0.16,28
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,Tables,5,27,9917.64,-2876.12,-0.29,29
Tennsco Double-Tier Lockers,Office Supplies,Storage,12,47,9630.86,429.79,0.04,30
Bush Advantage Collection Racetrack Conference Table,Furniture,Tables,7,33,9544.73,-1934.40,-0.20,31
Plantronics Savi W720 Multi-Device Wireless Headset System,Technology,Accessories,7,24,9367.29,3696.28,0.39,32
Bady BDG101FRU Card Printer,Technology,Machines,4,14,9279.88,1327.98,0.14,33
Tennsco Single-Tier Lockers,Office Supplies,Storage,8,28,9158.30,-825.75,-0.09,34
GuestStacker Chair with Chrome Finish Legs,Furniture,Chairs,8,31,9070.94,773.26,0.09,35
Canon Imageclass D680 Copier / Fax,Technology,Copiers,5,16,8959.87,2799.96,0.31,36
Hewlett Packard 610 Color Digital Copier / Printer,Technology,Copiers,7,21,8899.82,3124.94,0.35,37
Wilson Electronics DB Pro Signal Booster,Technology,Phones,10,32,8878.40,515.52,0.06,38
Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Furniture,Chairs,8,28,8774.50,1305.65,0.15,39
Global Deluxe High-Back Manager's Chair,Furniture,Chairs,8,35,8665.19,1558.59,0.18,40
Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Furniture,Chairs,8,34,8431.00,1388.63,0.16,41
Chromcraft Round Conference Tables,Furniture,Tables,13,61,8209.06,-189.98,-0.02,42
"Hot File 7-Pocket, Floor Stand",Office Supplies,Storage,13,49,8138.23,2016.71,0.25,43
